id,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,month,year,Latitude,Longitude,precipitation,LAI,Temp,Disease_Category
3310,32nd week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,32,1,7,8,2016,13.1601048,79.15555062,0.001476694,17.0,299.2466666,Diarrheal Diseases
3311,32nd week,Bihar,Nalanda,Acute Diarrhoeal Disease,15,0,4,8,2016,25.1364914,85.44365465,0.579749729,6.0,295.74,Diarrheal Diseases
3312,32nd week,Chhattisgarh,Janjgir,Cholera,28,0,7,8,2016,22.0090841,82.578896,1.971929241,2.0,297.12,Diarrheal Diseases
3313,32nd week,Chhattisgarh,Janjgir,Acute Diarrhoeal Disease,5,1,11,8,2016,22.0090841,82.578896,1.199891521,8.0,300.11,Diarrheal Diseases
3314,32nd week,Chhattisgarh,Sukma,Dengue,41,1,5,8,2016,18.26654225,81.29252341,0.954805823,8.0,303.3241667,Dengue
3315,32nd week,Gujarat,Gandhinagar,Cholera,52,1,10,8,2016,23.2232877,72.6492267,0.989275788,3.0,303.3241667,Diarrheal Diseases
3316,32nd week,Gujarat,Kheda,Cholera,77,1,9,8,2016,22.75,72.833333,0.80922354,3.0,301.6,Diarrheal Diseases
3317,32nd week,Karnataka,Haveri,Acute Diarrhoeal Disease,16,0,8,8,2016,14.7874825,75.3996731,1.237900123,7.0,296.925,Diarrheal Diseases
3318,32nd week,Karnataka,Uttara Kannada,Acute Diarrhoeal Disease,21,1,9,8,2016,14.72447415,74.64223734,2.200098313,5.0,299.16,Diarrheal Diseases
3319,32nd week,Madhya Pradesh,Burhanpur,Cholera,41,0,6,8,2016,21.3118839,76.2291992,1.526418986,6.0,301.26,Diarrheal Diseases
3320,32nd week,Madhya Pradesh,Khandwa,Cholera,121,1,9,8,2016,21.9778642,76.56882823,1.001518474,6.0,304.02,Diarrheal Diseases
3321,32nd week,Madhya Pradesh,Raisen,Acute Diarrhoeal Disease,25,2,10,8,2016,23.25,78.083333,1.348811711,2.0,300.48,Diarrheal Diseases
3322,32nd week,Madhya Pradesh,Ratlam,Cholera,22,1,7,8,2016,23.4805919,74.91931943,2.313674696,4.0,303.3241667,Diarrheal Diseases
3323,32nd week,Madhya Pradesh,Ratlam,Acute Diarrhoeal Disease,275,1,9,8,2016,23.4805919,74.91931943,3.268192917,4.0,303.3241667,Diarrheal Diseases
3324,32nd week,Maharashtra,Jalgaon,Cholera,46,1,8,8,2016,20.84288265,75.52612464,0.640120041,7.0,299.62,Diarrheal Diseases
3325,32nd week,Maharashtra,Kolhapur,Cholera,50,1,6,8,2016,16.7028412,74.2405329,1.117584664,9.0,300.7633333,Diarrheal Diseases
3326,32nd week,Odisha,Kalahandi,Acute Diarrhoeal Disease,15,2,5,8,2016,19.75,83.0,0.800764037,4.0,301.16,Diarrheal Diseases
3327,32nd week,Punjab,Barnala,Acute Diarrhoeal Disease,34,1,10,8,2016,30.3704685,75.50401742,0.453881062,31.0,302.66,Diarrheal Diseases
3328,32nd week,Punjab,Patiala,Acute Gastroenteritis,28,2,9,8,2016,30.2090874,76.33987209,0.693309449,20.0,302.6266666,Diarrheal Diseases
3329,32nd week,Rajasthan,Dungarpur,Acute Diarrhoeal Disease,25,1,11,8,2016,23.666667,73.75,2.146028616,9.0,303.3241667,Diarrheal Diseases
3330,32nd week,Tamil Nadu,Thiruvallur,Acute Diarrhoeal Disease,59,0,13,8,2016,13.13014755,79.92435386,0.036936728,9.0,310.6,Diarrheal Diseases
3331,32nd week,Telangana,Nizamabad,Acute Diarrhoeal Disease,54,1,8,8,2016,18.75,78.25,0.551274374,9.0,297.34,Diarrheal Diseases
3332,32nd week,Uttar Pradesh,Bara-Banki,Acute Diarrhoeal Disease,9,1,5,8,2016,26.9013312,81.2151601,0.796632946,9.0,300.5733334,Diarrheal Diseases
3333,32nd week,Uttar Pradesh,Budaun,Malaria,39,1,10,8,2016,28.06831165,79.04607312,0.304115069,8.0,302.36,Malaria
3334,32nd week,Assam,Dibrugarh,Dengue,14,2,1,8,2016,27.4844597,94.9019447,0.34930717,13.0,291.615,Dengue
3335,32nd week,Bihar,Jamui,Acute Diarrhoeal Disease,32,1,3,8,2016,24.96785205,86.17351147,0.928269542,10.0,302.7,Diarrheal Diseases
3336,32nd week,Bihar,Nalanda,Acute Diarrhoeal Disease,14,0,1,8,2016,25.1364914,85.44365465,0.517461633,8.0,295.74,Diarrheal Diseases
3337,32nd week,Chhattisgarh,Jashpur,Acute Diarrhoeal Disease,3,3,21,7,2016,22.76678355,83.95304519,1.683144893,8.0,303.3241667,Diarrheal Diseases
3338,32nd week,Madhya Pradesh,Raisen,Acute Diarrhoeal Disease,22,2,2,8,2016,23.25,78.083333,0.895851852,5.0,300.48,Diarrheal Diseases
3339,32nd week,Maharashtra,Gadchiroli,Malaria,21,1,24,7,2016,19.75907035,80.16228073,0.983176287,3.0,303.5025,Malaria
3340,32nd week,Rajasthan,Bhilwara,Acute Diarrhoeal Disease,102,1,2,8,2016,25.48877345,74.69961284,1.655531389,10.0,301.36,Diarrheal Diseases
3341,32nd week,Rajasthan,Udaipur,Acute Gastroenteritis,6,2,29,7,2016,24.578721,73.6862571,1.089247185,6.0,302.94,Diarrheal Diseases
3342,32nd week,Uttar Pradesh,Kaushambi,Acute Diarrhoeal Disease,189,1,1,8,2016,25.53609455,81.44672839,0.808642735,8.0,302.92,Diarrheal Diseases
3343,32nd week,Assam,Kamrup,Dengue,313,1,24,4,2016,26.12755515,91.29987148,1.413359437,12.0,297.76,Dengue
3344,33rd week,Andhra Pradesh,Vizianagaram,Acute Diarrhoeal Disease,14,0,21,8,2016,18.1120819,83.40521962,0.287051649,16.0,302.38,Diarrheal Diseases
3345,33rd week,Bihar,Bhabua,Acute Diarrhoeal Disease,13,1,20,8,2016,25.07634815,83.63359776,1.448337752,14.5,299.0333334,Diarrheal Diseases
3346,33rd week,Bihar,Bhabua,Acute Diarrhoeal Disease,13,1,20,8,2016,25.07634815,83.63359776,1.448337752,14.5,299.0333334,Diarrheal Diseases
3347,33rd week,Chhattisgarh,Balod,Acute Diarrhoeal Disease,69,1,12,8,2016,20.73218365,81.14335738,1.039434868,3.0,299.04,Diarrheal Diseases
3348,33rd week,Chhattisgarh,Rajnandgaon,Acute Diarrhoeal Disease,8,1,13,8,2016,20.9727404,80.69155548,0.481848538,10.0,298.995,Diarrheal Diseases
3349,33rd week,Himachal Pradesh,Mandi,Acute Diarrhoeal Disease,49,1,16,8,2016,31.6723392,76.95331691,1.599071882,28.0,298.32,Diarrheal Diseases
3350,33rd week,Jammu and Kashmir,Anantnag,Acute Gastroenteritis,780,0,16,8,2016,33.7368773,75.1455138,0.245352393,22.0,295.66,Diarrheal Diseases
3351,33rd week,Jharkhand,East Singhbhum,Acute Diarrhoeal Disease,10,1,15,8,2016,22.8092139,86.2091549,1.003223374,7.0,300.82,Diarrheal Diseases
3352,33rd week,Maharashtra,Beed,Dengue,34,1,15,8,2016,18.9918442,75.909784,0.104903639,8.0,302.98,Dengue
3353,33rd week,Punjab,Fatehgarh Sahib,Acute Gastroenteritis,15,1,13,8,2016,30.6466737,76.3887563,1.258735145,27.0,300.48,Diarrheal Diseases
3354,33rd week,Punjab,Muktsar,Acute Diarrhoeal Disease,15,1,15,8,2016,30.4692,74.5182,0.149676066,23.0,301.644,Diarrheal Diseases
3355,33rd week,Uttar Pradesh,Azamgarh,Acute Diarrhoeal Disease,23,2,15,8,2016,26.02269675,83.02887343,0.598892658,9.0,298.79,Diarrheal Diseases
3356,33rd week,Uttar Pradesh,Badaun,Dengue,16,2,11,8,2016,28.116667,78.983333,0.467996975,8.0,300.6,Dengue
3357,33rd week,West Bengal,Burdwan,Acute Diarrhoeal Disease,114,0,21,8,2016,23.2495714,87.8681751,0.724996211,14.0,298.3,Diarrheal Diseases
3358,33rd week,West Bengal,Purulia,Acute Diarrhoeal Disease,139,0,21,8,2016,23.3291882,86.3672378,1.170137742,13.0,300.02,Diarrheal Diseases
3359,33rd week,Chhattisgarh,Bilaspur,Acute Diarrhoeal Disease,66,0,18,7,2016,21.98934025,82.10996499,1.002114789,15.5,295.86,Diarrheal Diseases
3360,33rd week,Chhattisgarh,Dhamtari,Acute Diarrhoeal Disease,15,0,8,8,2016,20.7084545,81.5481305,3.150080992,8.0,299.98,Diarrheal Diseases
3361,33rd week,Chhattisgarh,Kondagaon,Acute Diarrhoeal Disease,7,1,20,7,2016,19.5885769,81.6628742,0.5167185,5.0,303.3241667,Diarrheal Diseases
3362,33rd week,Chhattisgarh,Rajnandgaon,Acute Diarrhoeal Disease,46,1,10,8,2016,20.9727404,80.69155548,2.425685486,2.0,298.995,Diarrheal Diseases
3363,33rd week,Chhattisgarh,Rajnandgaon,Acute Diarrhoeal Disease,38,1,8,8,2016,20.9727404,80.69155548,2.598480053,2.0,298.995,Diarrheal Diseases
3364,33rd week,Gujarat,Gandhinagar,Cholera,52,1,9,8,2016,23.2232877,72.6492267,0.80922354,3.0,303.3241667,Diarrheal Diseases
3365,33rd week,Jammu and Kashmir,Reasi,Acute Diarrhoeal Disease,56,1,9,5,2016,33.06910315,74.83786982,0.140341126,15.0,297.455,Diarrheal Diseases
3366,33rd week,Jharkhand,East Singhbhum,Dengue,7,1,25,7,2016,22.8092139,86.2091549,0.517082362,5.0,305.4,Dengue
3367,33rd week,Jharkhand,Jamtara,Acute Diarrhoeal Disease,21,1,8,8,2016,23.9232867,86.77353494,0.542169372,7.0,299.14,Diarrheal Diseases
3368,33rd week,Jharkhand,Pakur,Acute Diarrhoeal Disease,20,1,8,8,2016,24.6379647,87.8558666,0.400010648,10.0,299.88,Diarrheal Diseases
3369,33rd week,Maharashtra,Ahmednagar,Dengue,19,1,8,8,2016,19.1627725,74.8580243,1.502518227,7.0,300.32,Dengue
3370,33rd week,Maharashtra,Jalna,Dengue,12,1,7,8,2016,19.91883295,75.87085986,1.1719982,4.0,306.53,Dengue
3371,33rd week,Madhya Pradesh,Ratlam,Cholera,1614,1,14,7,2016,23.4805919,74.91931943,3.760360955,2.0,305.495,Diarrheal Diseases
3372,33rd week,Odisha,Ganjam,Acute Diarrhoeal Disease,27,0,10,8,2016,19.4129711,85.04710406,0.225489454,1.0,303.885,Diarrheal Diseases
3373,33rd week,Punjab,Jalandhar,Cholera,165,0,1,8,2016,31.29201065,75.56805772,0.551340704,16.0,301.6466666,Diarrheal Diseases
3374,33rd week,Rajasthan,Baran,Acute Diarrhoeal Disease,74,1,12,8,2016,24.91765715,76.69627663,2.265510392,11.0,299.98,Diarrheal Diseases
3375,33rd week,Rajasthan,Baran,Acute Diarrhoeal Disease,129,1,14,8,2016,24.91765715,76.69627663,1.889915712,11.0,278.18,Diarrheal Diseases
3376,33rd week,Uttar Pradesh,Budaun,Dengue,18,1,9,8,2016,28.06831165,79.04607312,0.295849892,8.0,303.73,Dengue
3377,33rd week,Uttar Pradesh,Mirzapur,Acute Diarrhoeal Disease,9,2,10,8,2016,25.1010477,82.62574936,0.605596566,9.0,302.82,Diarrheal Diseases
3378,33rd week,West Bengal,North 24 Parganas,Dengue,248,1,10,8,2016,22.642931,88.8930579,0.892263623,8.0,300.42,Dengue
3379,33rd week,West Bengal,Hooghly,Dengue,1491,0,23,8,2016,22.9052114,88.3760639,1.823735965,13.0,300.42,Dengue
3380,34th week,Arunachal Pradesh,East Siang,Dengue,5,1,23,8,2016,28.3,95.15,0.446819186,48.0,295.8,Dengue
3381,34th week,Himachal Pradesh,Mandi,Acute Diarrhoeal Disease,50,1,18,8,2016,31.6723392,76.95331691,1.280756772,28.0,298.255,Diarrheal Diseases
3382,34th week,Jammu and Kashmir,Ramban,Acute Diarrhoeal Disease,62,1,20,8,2016,33.2116371,75.20509891,0.07875461,9.0,298.1833334,Diarrheal Diseases
3383,34th week,Jharkhand,Sahebganj,Acute Diarrhoeal Disease,51,1,19,8,2016,25.244263,87.6348084,0.541195691,9.0,300.96,Diarrheal Diseases
3384,34th week,Karnataka,Chikkaballapura,Chikungunya,28,1,18,8,2016,13.4358702,77.7312434,0.098831201,8.0,302.13,Chikungunya
3385,34th week,Karnataka,Dharwad,Acute Diarrhoeal Disease,25,0,24,8,2016,15.4540505,75.0066516,0.162268809,4.0,307.74,Diarrheal Diseases
3386,34th week,Karnataka,Ramanagara,Chikungunya,43,0,19,8,2016,12.7252766,77.2804797,0.135786609,6.0,297.94,Chikungunya
3387,34th week,Karnataka,Ramanagara,Acute Diarrhoeal Disease,41,0,22,8,2016,12.7252766,77.2804797,0.100218001,6.0,299.8333334,Diarrheal Diseases
3388,34th week,Karnataka,Tumkur,Chikungunya,30,1,17,8,2016,13.3400771,77.1006208,0.13666655,7.0,301.295,Chikungunya
3389,34th week,Madhya Pradesh,Shivpuri,Acute Diarrhoeal Disease,25,1,23,8,2016,25.37524125,77.82811933,0.886415847,11.0,299.41,Diarrheal Diseases
3390,34th week,Madhya Pradesh,Sidhi,Acute Diarrhoeal Disease,14,1,26,8,2016,24.25,82.0,0.597094546,13.0,299.4533334,Diarrheal Diseases
3391,34th week,Madhya Pradesh,Singrauli,Acute Diarrhoeal Disease,13,2,22,8,2016,24.1974432,82.6661453,1.544004914,14.0,299.79,Diarrheal Diseases
3392,34th week,Maharashtra,Amravati,Acute Gastroenteritis,41,1,19,8,2016,20.9521098,77.7333168,0.215614796,12.5,298.02,Diarrheal Diseases
3393,34th week,Tamil Nadu,Kancheepuram,Dengue,38,0,22,8,2016,12.87960515,79.70427615,0.001497096,9.0,307.25,Dengue
3394,34th week,Telangana,Nalgonda,Malaria,18,1,26,8,2016,16.8579636,79.21749353,0.037160089,6.0,312.81,Malaria
3395,34th week,Uttar Pradesh,Mirzapur,Acute Diarrhoeal Disease,40,2,18,8,2016,25.1010477,82.62574936,3.390064787,3.0,302.39,Diarrheal Diseases
3396,34th week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,7,1,18,8,2016,27.25264095,82.86964796,0.626114699,13.0,303.3666666,Diarrheal Diseases
3397,34th week,West Bengal,Purulia,Acute Diarrhoeal Disease,58,0,24,8,2016,23.3291882,86.3672378,1.071039828,13.0,301.0266666,Diarrheal Diseases
3398,34th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,79,0,27,8,2016,22.5760669,88.42006758,1.476226079,7.0,300.7266666,Diarrheal Diseases
3399,34th week,Bihar,Munger,Malaria,8,0,15,8,2016,25.22081165,86.51720367,0.678537071,9.0,301.16,Malaria
3400,34th week,Bihar,Nalanda,Acute Diarrhoeal Disease,12,0,9,8,2016,25.1364914,85.44365465,0.519151296,5.0,295.74,Diarrheal Diseases
3401,34th week,Bihar,Nalanda,Acute Diarrhoeal Disease,21,0,9,8,2016,25.1364914,85.44365465,0.519151296,5.0,295.74,Diarrheal Diseases
3402,34th week,Chhattisgarh,Balrampur,Acute Diarrhoeal Disease,55,2,13,8,2016,23.6263016,83.48245092,2.655794279,4.0,303.3241667,Diarrheal Diseases
3403,34th week,Chhattisgarh,Janjgir,Acute Diarrhoeal Disease,27,0,16,8,2016,22.0090841,82.578896,1.779043412,2.0,300.11,Diarrheal Diseases
3404,34th week,Chhattisgarh,Korba,Cholera,7,2,18,7,2016,22.3547468,82.7110855,1.362877675,6.0,288.5,Diarrheal Diseases
3405,34th week,Chhattisgarh,Raigarh,Acute Gastroenteritis,48,1,14,7,2016,22.5,83.5,0.270810429,2.0,303.06,Diarrheal Diseases
3406,34th week,Chhattisgarh,Raigarh,Acute Gastroenteritis,16,1,26,7,2016,22.5,83.5,1.225120076,10.0,303.06,Diarrheal Diseases
3407,34th week,Chhattisgarh,Raigarh,Acute Gastroenteritis,30,1,30,7,2016,22.5,83.5,0.765905801,11.0,304.48,Diarrheal Diseases
3408,34th week,Chhattisgarh,Raigarh,Acute Gastroenteritis,41,1,15,8,2016,22.5,83.5,1.32562742,7.0,300.22,Diarrheal Diseases
3409,34th week,Karnataka,Mandya,Dengue,28,0,15,8,2016,12.5238888,76.8961961,0.105617956,7.0,304.76,Dengue
3410,34th week,Karnataka,Udupi,Dengue,13,0,12,8,2016,13.3419169,74.7473232,1.722122339,14.0,300.6,Dengue
3411,34th week,Madhya Pradesh,Ratlam,Cholera,6,1,31,7,2016,23.4805919,74.91931943,1.433377342,2.0,305.495,Diarrheal Diseases
3412,34th week,Maharashtra,Jalna,Dengue,7,1,15,8,2016,19.91883295,75.87085986,0.101338256,7.0,303.7,Dengue
3413,34th week,Maharashtra,Sangli,Dengue,9,1,28,7,2016,17.1726928,74.58676543,0.994676853,5.0,303.4066666,Dengue
3414,34th week,Meghalaya,West Garo Hills,Dengue,63,1,11,8,2016,25.60631425,90.21139055,0.310612777,9.0,303.3241667,Dengue
3415,34th week,Odisha,Ganjam,Acute Diarrhoeal Disease,36,0,17,8,2016,19.4129711,85.04710406,0.225489454,6.0,303.87,Diarrheal Diseases
3416,34th week,Rajasthan,Jaipur,Cholera,546,0,8,8,2016,26.9154576,75.8189817,0.736953759,7.0,302.0066666,Diarrheal Diseases
3417,34th week,Uttar Pradesh,Varanasi,Acute Diarrhoeal Disease,2,1,15,8,2016,25.3356491,83.0076292,0.920239693,6.0,303.3241667,Diarrheal Diseases
3418,34th week,West Bengal,Murshidabad,Dengue,118,0,17,8,2016,24.1745993,88.2721335,0.760501752,6.0,301.05,Dengue
3419,35th week,Bihar,Bhabua,Acute Diarrhoeal Disease,18,1,29,8,2016,25.07634815,83.63359776,0.324035873,17.0,302.48,Diarrheal Diseases
3420,35th week,Bihar,Bhabua,Acute Diarrhoeal Disease,106,1,25,8,2016,25.07634815,83.63359776,0.408021947,12.0,299.95,Diarrheal Diseases
3421,35th week,Bihar,Munger,Acute Diarrhoeal Disease,49,0,28,8,2016,25.22081165,86.51720367,0.33713412,9.0,304.475,Diarrheal Diseases
3422,35th week,Chandigarh,Chandigarh,Dengue,17,0,29,8,2016,30.72984395,76.78414567,0.235248772,26.0,301.485,Dengue
3423,35th week,Chhattisgarh,Korba,Acute Diarrhoeal Disease,16,0,27,8,2016,22.3547468,82.7110855,0.830944854,2.0,296.4,Diarrheal Diseases
3424,35th week,Chhattisgarh,Rajnandgaon,Acute Diarrhoeal Disease,12,1,27,8,2016,20.9727404,80.69155548,0.553338869,2.0,298.995,Diarrheal Diseases
3425,35th week,Haryana,Ambala,Acute Diarrhoeal Disease,116,0,5,9,2016,30.3843674,76.770421,0.286742135,22.0,303.085,Diarrheal Diseases
3426,35th week,Karnataka,Haveri,Acute Diarrhoeal Disease,21,0,2,9,2016,14.7874825,75.3996731,0.542085406,7.0,299.5133333,Diarrheal Diseases
3427,35th week,Karnataka,Raichur,Dengue,36,0,26,8,2016,16.083333,77.166667,0.039719973,7.0,306.53,Dengue
3428,35th week,Madhya Pradesh,Nimach,Dengue,10,1,4,9,2016,24.4624649,74.8501137,0.578844426,9.0,298.72,Dengue
3429,35th week,Madhya Pradesh,Sheopur-Kalan,Acute Diarrhoeal Disease,6,1,30,8,2016,25.6713529,76.7005775,0.388891222,15.0,302.05,Diarrheal Diseases
3430,35th week,Madhya Pradesh,Singrauli,Acute Diarrhoeal Disease,11,1,23,8,2016,24.1974432,82.6661453,1.461610874,14.0,299.79,Diarrheal Diseases
3431,35th week,Madhya Pradesh,Singrauli,Acute Diarrhoeal Disease,21,3,28,8,2016,24.1974432,82.6661453,0.984117209,14.0,300.68,Diarrheal Diseases
3432,35th week,Maharashtra,Ahmednagar,Chikungunya,20,1,30,8,2016,19.1627725,74.8580243,0.27228946,8.0,303.59,Chikungunya
3433,35th week,Maharashtra,Ahmednagar,Chikungunya,182,1,26,8,2016,19.1627725,74.8580243,0.1393668,8.0,305.16,Chikungunya
3434,35th week,Mizoram,Aizawl West,Dengue,48,1,30,8,2016,23.7435236,92.7382905,0.573523046,27.0,300.74,Dengue
3435,35th week,Odisha,Bolangir,Acute Diarrhoeal Disease,21,0,29,8,2016,20.7502257,83.2499464,0.354396598,19.0,302.58,Diarrheal Diseases
3436,35th week,Odisha,Cuttack,Acute Diarrhoeal Disease,13,1,27,8,2016,20.4686,85.8792,0.994406465,9.0,302.7866666,Diarrheal Diseases
3437,35th week,Odisha,Dhenkanal,Acute Diarrhoeal Disease,51,1,28,8,2016,20.75,85.5,0.64003209,15.0,302.905,Diarrheal Diseases
3438,35th week,Odisha,Jajpur,Acute Diarrhoeal Disease,23,1,29,8,2016,20.8522696,86.3385714,0.602979024,11.0,302.675,Diarrheal Diseases
3439,35th week,Punjab,Hoshiarpur,Cholera,34,0,3,9,2016,31.60857425,75.84644247,0.245949534,23.0,302.15,Diarrheal Diseases
3440,35th week,Rajasthan,Udaipur,Cholera,84,7,29,8,2016,24.578721,73.6862571,0.592045558,15.0,300.76,Diarrheal Diseases
3441,35th week,Uttar Pradesh,Kushinagar,Acute Diarrhoeal Disease,44,1,25,8,2016,26.7438272,83.9162322,0.407950872,20.0,301.856,Diarrheal Diseases
3442,35th week,West Bengal,Nadia,Dengue,53,0,27,8,2016,23.48454125,88.55676307,1.719825849,9.0,303.29,Dengue
3443,35th week,Chhattisgarh,Raipur,Acute Diarrhoeal Disease,31,2,19,8,2016,21.2380912,81.6336993,1.182055361,16.0,300.14,Diarrheal Diseases
3444,35th week,Karnataka,Mandya,Dengue,28,0,15,8,2016,12.5238888,76.8961961,0.105617956,7.0,304.76,Dengue
3445,35th week,Karnataka,Tumkur,Chikungunya,17,1,22,7,2016,13.3400771,77.1006208,0.634860031,6.0,304.28,Chikungunya
3446,35th week,Maharashtra,Chandrapur,Acute Gastroenteritis,48,1,3,8,2016,20.0967555,79.50454752,0.626098822,14.5,301.2283333,Diarrheal Diseases
3447,35th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,10,1,24,8,2016,20.32570375,78.11691397,0.08585386,13.0,304.59,Diarrheal Diseases
3448,35th week,Odisha,Kalahandi,Acute Diarrhoeal Disease,61,3,10,8,2016,19.75,83.0,1.302949747,4.0,302.56,Diarrheal Diseases
3449,35th week,Rajasthan,Alwar,Dengue And Chikungunya,115,0,24,8,2016,27.5,76.5,0.436050096,13.0,299.38,Dengue-Chikungunya
3450,35th week,Rajasthan,Alwar,Chikungunya,220,0,24,8,2016,27.5,76.5,0.436050096,13.0,299.38,Chikungunya
3451,35th week,Uttar Pradesh,Fatehpur,Acute Diarrhoeal Disease,65,1,6,8,2016,25.8435395,80.91800397,0.744201159,7.0,301.36,Diarrheal Diseases
3452,35th week,Uttar Pradesh,Lakhimpur Kheri,Acute Encephalitis Syndrome,27,2,16,8,2016,27.98506015,80.75384538,1.095861544,13.0,301.56,Encephalitis
3453,35th week,West Bengal,Hooghly,Dengue,124,0,24,8,2016,22.9052114,88.3760639,1.743330562,13.0,301.64,Dengue
3454,35th week,Kerala,Palakkad,Cholera,102,2,5,7,2016,10.78789845,76.47408711,0.639495295,4.0,295.21,Diarrheal Diseases
3455,35th week,West Bengal,Murshidabad,Dengue,148,0,17,8,2016,24.1745993,88.2721335,0.760501752,6.0,301.05,Dengue
3456,35th week,West Bengal,Hooghly,Dengue,2513,0,11,7,2016,22.9052114,88.3760639,0.702760274,10.0,295.2,Dengue
3457,35th week,West Bengal,North 24 Parganas,Dengue,279,1,10,8,2016,22.642931,88.8930579,0.892263623,8.0,300.42,Dengue
3458,36th week,Andhra Pradesh,Vizianagaram,Acute Diarrhoeal Disease,37,0,6,9,2016,18.1120819,83.40521962,0.609948626,16.0,302.755,Diarrheal Diseases
3459,36th week,Assam,Kamrup,Acute Diarrhoeal Disease,53,1,4,9,2016,26.12755515,91.29987148,0.737736241,9.0,300.785,Diarrheal Diseases
3460,36th week,Bihar,Bhabua,Acute Diarrhoeal Disease,61,1,5,9,2016,25.07634815,83.63359776,0.630830635,19.0,306.06,Diarrheal Diseases
3461,36th week,Bihar,Patna,Acute Gastroenteritis,30,1,1,9,2016,25.6093239,85.1235252,0.498729409,9.0,303.065,Diarrheal Diseases
3462,36th week,Bihar,Samastipur,Acute Diarrhoeal Disease,4,1,5,9,2016,25.7744929,85.86626813,1.503921254,12.0,301.34,Diarrheal Diseases
3463,36th week,Chhattisgarh,Janjgir,Cholera,195,0,6,9,2016,22.0090841,82.578896,0.804016912,7.0,299.02,Diarrheal Diseases
3464,36th week,Karnataka,Davangere,Cholera,51,0,3,9,2016,14.4679807,75.9195682,0.319798113,10.0,303.3241667,Diarrheal Diseases
3465,36th week,Karnataka,Kolar,Dengue,23,1,7,9,2016,13.1367201,78.1337246,0.096657579,9.0,306.66,Dengue
3466,36th week,Madhya Pradesh,Morena,Dengue,154,0,5,9,2016,26.166667,77.5,0.341389083,15.0,301.95,Dengue
3467,36th week,Maharashtra,Nagpur,Dengue,37,1,7,9,2016,21.1498134,79.0820556,0.149567335,13.0,303.86,Dengue
3468,36th week,Maharashtra,Washim,Chikungunya,23,1,9,9,2016,20.28741775,77.2369655,0.055540699,19.0,298.0,Chikungunya
3469,36th week,Rajasthan,Alwar,Chikungunya,122,0,5,9,2016,27.5,76.5,0.569338528,9.0,300.985,Chikungunya
3470,36th week,Tamil Nadu,Pudukkottai,Acute Diarrhoeal Disease,15,0,11,9,2016,10.5,78.833333,0.015124662,9.0,308.6733334,Diarrheal Diseases
3471,36th week,Tamil Nadu,Thanjavur,Dengue,56,0,8,9,2016,10.7860267,79.1381497,0.067204397,8.0,311.56,Dengue
3472,36th week,Telangana,Medak,Acute Diarrhoeal Disease,16,1,11,9,2016,17.9375095,78.21174499,0.191050159,14.0,303.225,Diarrheal Diseases
3473,36th week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,56,1,5,9,2016,25.1265777,83.24965577,0.744016562,17.0,304.07,Diarrheal Diseases
3474,36th week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,32,1,5,9,2016,25.1265777,83.24965577,0.744016562,17.0,304.07,Diarrheal Diseases
3475,36th week,West Bengal,Bankura,Acute Diarrhoeal Disease,49,0,3,9,2016,23.13195425,87.2073972,0.31774728,13.0,303.12,Diarrheal Diseases
3476,36th week,West Bengal,Murshidabad,Acute Diarrhoeal Disease,47,0,10,9,2016,24.1745993,88.2721335,0.734567747,10.0,302.26,Diarrheal Diseases
3477,36th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,157,0,11,9,2016,22.5760669,88.42006758,0.430563285,13.0,297.4333334,Diarrheal Diseases
3478,36th week,Bihar,Jamui,Acute Diarrhoeal Disease,13,1,31,8,2016,24.96785205,86.17351147,0.253876337,14.0,305.84,Diarrheal Diseases
3479,36th week,Bihar,Rohtas,Acute Diarrhoeal Disease,21,1,10,8,2016,24.6723487,83.92090397,0.574534047,6.0,300.9,Diarrheal Diseases
3480,36th week,Bihar,Rohtas,Acute Diarrhoeal Disease,24,2,3,8,2016,24.6723487,83.92090397,0.657737819,10.0,300.88,Diarrheal Diseases
3481,36th week,Chhattisgarh,Janjgir,Acute Diarrhoeal Disease,17,0,22,8,2016,22.0090841,82.578896,0.929047079,12.0,296.4,Diarrheal Diseases
3482,36th week,Chhattisgarh,Koriya,Malaria,367,3,8,7,2016,23.4316014,82.31383043,1.587052989,3.0,301.66,Malaria
3483,36th week,Jammu and Kashmir,Ramban,Acute Diarrhoeal Disease,62,1,20,8,2016,33.2116371,75.20509891,0.07875461,9.0,298.1833334,Diarrheal Diseases
3484,36th week,Karnataka,Tumkur,Dengue And Chikungunya,23,1,13,7,2016,13.3400771,77.1006208,0.145308466,6.0,304.28,Dengue-Chikungunya
3485,36th week,Madhya Pradesh,Raisen,Acute Diarrhoeal Disease,71,2,22,8,2016,23.25,78.083333,1.678076363,11.0,301.56,Diarrheal Diseases
3486,36th week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,272,5,2,8,2016,25.1265777,83.24965577,0.701222157,10.0,300.60699999999997,Diarrheal Diseases
